offset,title,type,office,office_level,publish_date,effective_date,status
51,中华人民共和国领海及毗连区法,法律,全国人民代表大会常务委员会,全国人民代表大会,1992-02-25,1992-02-25,有效
52,反分裂国家法,法律,全国人民代表大会,全国人民代表大会,2005-03-14,2005-03-14,有效
53,中华人民共和国缔结条约程序法,法律,全国人民代表大会常务委员会,全国人民代表大会,1990-12-28,1990-12-28,有效
54,中华人民共和国领事特权与豁免条例,法律,全国人民代表大会常务委员会,全国人民代表大会,1990-10-30,1990-10-30,有效
55,中华人民共和国香港特别行政区基本法,法律,全国人民代表大会,全国人民代表大会,1990-04-04,1997-07-01,有效
56,中华人民共和国民族区域自治法,法律,全国人民代表大会,全国人民代表大会,2001-02-28,2001-02-28,有效
57,中华人民共和国城市居民委员会组织法,法律,全国人民代表大会常务委员会,全国人民代表大会,1989-12-26,1990-01-01,已修改
58,中华人民共和国澳门特别行政区驻军法,法律,全国人民代表大会常务委员会,全国人民代表大会,1999-06-28,1999-12-20,有效
59,中华人民共和国全国人民代表大会议事规则,法律,全国人民代表大会,全国人民代表大会,1989-04-04,1989-04-04,已修改
60,中华人民共和国专属经济区和大陆架法,法律,全国人民代表大会常务委员会,全国人民代表大会,1998-06-26,1998-06-26,有效
61,中华人民共和国香港特别行政区驻军法,法律,全国人民代表大会常务委员会,全国人民代表大会,1996-12-30,1997-07-01,有效
62,全国人民代表大会常务委员会关于批准中央军事委员会《关于授予军队离休干部中国人民解放军功勋荣誉章的规定》的决定,法律,全国人民代表大会常务委员会,全国人民代表大会,1988-07-01,1988-07-01,有效
63,中华人民共和国外交特权与豁免条例,法律,全国人民代表大会常务委员会,全国人民代表大会,1986-09-05,1986-09-05,有效
64,中华人民共和国戒严法,法律,全国人民代表大会常务委员会,全国人民代表大会,1996-03-01,1996-03-01,有效
65,全国人民代表大会常务委员会关于在沿海港口城市设立海事法院的决定,法律,全国人民代表大会常务委员会,全国人民代表大会,1984-11-14,1984-11-14,有效
66,全国人民代表大会常务委员会关于县级以下人民代表大会代表直接选举的若干规定,法律,全国人民代表大会常务委员会,全国人民代表大会,1983-03-05,1983-03-05,有效
67,中华人民共和国全国人民代表大会组织法,法律,全国人民代表大会,全国人民代表大会,1982-12-10,1982-12-10,已修改
68,中华人民共和国国务院组织法,法律,全国人民代表大会,全国人民代表大会,1982-12-10,1982-12-10,有效
69,中华人民共和国商标法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-11-01,有效
70,中华人民共和国国籍法,法律,全国人民代表大会,全国人民代表大会,1980-09-10,1980-09-10,有效
71,中华人民共和国人民检察院组织法,法律,全国人民代表大会,全国人民代表大会,1979-07-01,1980-01-01,已修改
72,中华人民共和国电子签名法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-04-23,2019-04-23,有效
73,中华人民共和国期货和衍生品法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-04-20,2022-08-01,有效
74,中华人民共和国农村土地承包法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-12-29,2019-01-01,有效
75,中华人民共和国著作权法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-11-11,2021-06-01,有效
76,中华人民共和国公司法,法律,全国人民代表大会常务委员会,全国人民代表大会,2018-10-26,2018-10-26,有效
77,中华人民共和国专利法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-10-17,2021-06-01,有效
78,中华人民共和国农民专业合作社法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-12-27,2018-07-01,有效
