law_id,type,title,kana,effective_date
132M10000040022,府省令,明治三十二年大蔵省令第二十二号（英国倫敦ニ於テ募集スル公債ニ関スル手続方法）,えいこくろんどんにおいてぼしゅうするこうさいにかんするてつづきほうほう,昭和二十七年十一月二十四日
132M10001000019,府省令,明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,しょうほうだいななひゃくきゅうじょうにきていするぞくぐもくろくのしょしきのけん,昭和二十三年四月二十二日
132M10001000024,府省令,船舶法施行細則,せんぱくほうしこうさいそく,令和七年六月二日
132M10001000035,府省令,水難救護法施行細則,すいなんきゅうごほうしこうさいそく,平成十二年四月一日
133AC0000000065,法律,鉄道営業法,てつどうえいぎょうほう,令和七年六月一日
133AC1000000033,法律,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律,にじっさいみまんのもののきつえんのきんしにかんするほうりつ,令和四年四月一日
133AC1000000072,法律,明治三十三年法律第七十二号（地上権ニ関スル法律）,ちじょうけんにかんするほうりつ,明治三十三年三月二十七日
133IO0000000001,勅令,窒息セシムヘキ瓦斯又ハ有毒質ノ瓦斯ヲ散布スルヲ唯一ノ目的トスル投射物ノ使用ヲ各自ニ禁止スル宣言書,ちっそくせしむへきがすまたはゆうどくしつのがすをさんぷするをゆいいつのもくてきとするとうしゃぶつのしようをかくじにきんしするせんげんしょ,明治三十三年十一月二十二日
133IO0000000002,勅令,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,がいほうこうこなるだんがんにしてそのがいほうちゅうしんのぜんぶをがいほうせすもしくはそのがいほうにせつこくをほどこしたるもののごときじんたいないにいりてよういにかいてんしまたはへんぺいとなるへきだんがんのしようをかくじにきんしするせんげんしょ,明治三十三年十一月二十二日
133IO0000000329,勅令,明治三十三年勅令第三百二十九号（救恤又ハ学芸技術奨励寄附金等ノ保管出納ニ関スル件）,きゅうじゅつもしくはがくげいぎじゅつしょうれいきふきんとうのほかんすいとうにかんするけん,平成九年八月二十九日
133IO0000000409,勅令,明治三十三年勅令第四百九号（相続人曠欠ノ場合ニ於テ国庫ニ帰属シタル財産ノ引渡ニ関スル件）,そうぞくにんこうけつのばあいにおいてこっこにきぞくしたるざいさんのひきわたしにかんするけん,明治三十三年十二月七日
133M10000010025,府省令,明治三十三年司法省令第二十五号（外国ニ於テ婚姻ヲ為ストキノ証明書ニ関スル件）,がいこくにおいてこんいんをなすときのしょうめいしょにかんするけん,明治三十三年七月十六日
133M10001000038,府省令,伝染病患者鉄道乗車規程,でんせんびょうかんじゃてつどうじょうしゃきてい,平成十一年四月一日
134IO0000000001,勅令,日西特別通商条約,にっせいとくべつつうしょうじょうやく,明治三十四年四月八日
135AC0000000011,法律,明治三十五年法律第十一号（警察署内ノ留置場ニ拘禁又ハ留置セラルル者ノ費用ニ関スル法律）,けいさつしょないのりゅうちじょうにこうきんまたはりゅうちせらるるもののひようにかんするほうりつ,平成十三年一月六日
135AC1000000050,法律,明治三十五年法律第五十号（年齢計算ニ関スル法律）,ねんれいけいさんにかんするほうりつ,明治三十五年十二月二十二日
135M10001000011,府省令,明治三十五年逓信省令第十一号（船舶積量互認ノ件ニ関シ帝国政府ト瑞典及諾威国両政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとすうぇーでんおよびのるうぇーこくりょうせいふとのあいだにとりきめをなしたるじょうき,明治三十五年四月一日
137AC0000000017,法律,明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）,きめいのこくさいをもくてきとするしちけんのせっていにかんするほうりつ,平成十八年五月一日
138AC0000000052,法律,担保付社債信託法,たんぽつきしゃさいしんたくほう,令和十年六月十三日
138AC0000000053,法律,鉄道抵当法,てつどうていとうほう,令和十年六月十三日
138AC0000000054,法律,工場抵当法,こうじょうていとうほう,令和七年六月一日
138AC0000000055,法律,鉱業抵当法,こうぎょうていとうほう,平成二十四年一月二十一日
138AC0000000063,法律,外国裁判所ノ嘱託ニ因ル共助法,がいこくさいばんしょのしょくたくによるきょうじょほう,昭和十三年三月二十二日
